index,map,class,id,name,enemy_levels,enemy_species,player_level,outcome,turns,faints,state,detail
44,UnionCaveB1F,POKEMANIAC,ANDREW,ANDREW,14/15,GEODUDE_ALOLAN/PHANPY,15,win,7,2,5,
45,UnionCaveB1F,POKEMANIAC,CALVIN,CALVIN,15,GEODUDE_ALOLAN,15,win,3,1,5,
46,AzaleaGym,BUGSY,BUGSY1,BUGSY,14/15/16,SIZZLIPEDE/JOLTIK/SCYTHER,16,loss,29,6,5,
47,AzaleaTown,RIVAL1,RIVAL1_2_TOTODILE,?,13/14/16,GLIGAR/MAGNEMITE/CROCONAW,16,loss,21,6,5,
48,Route34,YOUNGSTER,SAMUEL,SAMUEL,15/17/17,SENTRET/PIDGEY/AIPOM,17,win,7,1,5,
49,GoldenrodGym,LASS,BRIDGET,BRIDGET,18/18,SNUBBULL/MARILL,18,win,8,1,5,
50,IlexForest,BUG_CATCHER,WAYNE,WAYNE,18/18,SIZZLIPEDE/VENIPEDE,18,win,8,1,5,
51,Route34,PICNICKER,GINA1,GINA,18/18,RATTATA/MEOWTH,18,win,5,1,5,
52,Route34,YOUNGSTER,IAN,IAN,16/18,SPINARAK/NUMEL,18,win,14,3,5,
53,GoldenrodGym,BEAUTY,VICTORIA,VICTORIA,17/19,HOOTHOOT/TOGETIC,19,win,12,1,5,
54,GoldenrodUnderground,POKEMANIAC,ISSAC,ISSAC,19,SENTRET,19,win,2,0,5,
55,GoldenrodUnderground,SUPER_NERD,TERU,TERU,19/19/19,SPINARAK/GLIMMET/EKANS,19,win,17,4,5,
56,Route34,CAMPER,TODD1,TODD,19,SHROOMISH,19,win,4,0,5,
57,Route34,POKEFANM,BRANDON,BRANDON,19,DIGLETT,19,win,10,2,5,
58,GoldenrodGym,BEAUTY,SAMANTHA,SAMANTHA,20,HOOTHOOT,20,win,3,0,5,
59,GoldenrodGym,LASS,CARRIE,CARRIE,20,IMPIDIMP,20,win,3,0,5,
60,GoldenrodUnderground,POKEMANIAC,DONALD,DONALD,20/20,GOLETT/AIPOM,20,win,10,2,5,
61,GoldenrodUnderground,SUPER_NERD,ERIC,ERIC,20/20,MAGNEMITE/VOLTORB,20,win,13,1,5,
62,GoldenrodUnderground,THUG,THUG_PAULIE,PAULIE,20/20,MANKEY/KOFFING,20,win,6,1,5,
63,Route34,COOLTRAINERF,KATE,KATE,18/20,CORSOLA_GALARIAN/CETODDLE,20,loss,13,6,5,
64,Route34,COOLTRAINERF,IRENE,IRENE,18/20,SLUGMA/MAGBY,20,win,13,4,5,
65,Route34,COOLTRAINERF,JENN,JENN,18/20,HOUNDOUR/HAUNTER,20,loss,9,6,5,
66,Route34,OFFICER,KEITH,KEITH,20,GROWLITHE,20,win,4,0,5,
67,Route35,FIREBREATHER,WALT,WALT,20/20,HOUNDOUR/SLUGMA,20,win,5,1,5,
68,RuinsOfAlphOutside,SUPER_NERD,STAN,STAN,20,SLOWPOKE_GALARIAN,20,win,8,1,5,
69,GoldenrodGym,WHITNEY,WHITNEY1,WHITNEY,19/20/20/21,CLEFAIRY/TEDDIURSA/BUNEARY/MILTANK,21,loss,21,6,5,
70,GoldenrodUnderground,THUG,THUG_BOBBY,BOBBY,21/21,CROAGUNK/GRIMER,21,win,17,4,5,
71,IlexForest,CRYSTAL,CRYSTAL_2_CHIKORITA,CRYSTAL,17/18/18/21,NATU/APPLIN/CUBONE/BAYLEEF,21,win,24,5,5,
72,IlexForest,CRYSTAL,CRYSTAL_2_CYNDAQUIL,CRYSTAL,17/18/18/21,NATU/APPLIN/CUBONE/QUILAVA,21,win,25,5,5,
73,IlexForest,CRYSTAL,CRYSTAL_2_TOTODILE,CRYSTAL,17/18/18/21,NATU/APPLIN/CUBONE/CROCONAW,21,loss,18,6,5,
74,Route35,CAMPER,IVAN,IVAN,21/21,RATTATA/PHANPY,21,win,6,2,5,
75,Route35,CAMPER,ELLIOT,ELLIOT,21/21,LEDYBA/MUNCHLAX,21,win,18,5,5,
76,Route35,JUGGLER,IRWIN1,IRWIN,21/21/21,ABRA/MAGNEMITE/LITWICK,21,win,18,1,5,
77,Route35,OFFICER,DIRK,DIRK,21/21,GROWLITHE/HOOTHOOT,21,win,6,1,5,
78,Route36,PSYCHIC_T,MARK,MARK,20/20/21,KIRLIA/GASTLY/ABRA,21,win,13,4,5,
79,GoldenrodUnderground,THUG,THUG_TONY,TONY,21/21/22,HOUNDOUR/MURKROW/SCRAGGY,22,win,17,5,5,
80,NationalPark,POKEFANF,BEVERLY1,BEVERLY,22,PIDGEOTTO,22,win,5,1,5,
81,NationalPark,POKEFANM,WILLIAM,WILLIAM,22,HOOTHOOT,22,win,3,0,5,
82,SilentCrypt,HEX_MANIAC,ODESSA,ODESSA,21/22/22,SLOWPOKE/DROWZEE/SPOINK,22,win,18,4,5,
83,EcruteakGym,MEDIUM,MARTHA,MARTHA,23/23,DUSKULL/SHUPPET,23,win,10,1,5,
84,EcruteakGym,MEDIUM,GRACE,GRACE,23/23,GASTLY/SHUPPET,23,win,7,1,5,
85,Route35,AROMA_LADY,BROOKE,BROOKE,23,BELLSPROUT,23,win,6,1,5,
86,Route35,AROMA_LADY,KIM,KIM,23,ODDISH,23,win,8,2,5,
87,Route35,BIRD_KEEPER,BRYAN,BRYAN,21/23/23,SPEAROW/PIDGEOTTO/FLETCHINDER,23,win,7,1,5,
88,Route35,BUG_CATCHER,ARNIE1,ARNIE,23/23,SPINARAK/CHARJABUG,23,win,12,4,5,
89,RuinsOfAlphOutside,PSYCHIC_T,NATHAN,NATHAN,23,SMOOCHUM,23,win,3,1,5,
90,SilentCrypt,HEX_MANIAC,LILITH,LILITH,21/21/23,KADABRA/RATTATA_ALOLAN/PAWNIARD,23,loss,19,6,5,
91,BurnedTower1F,HEX_MANIAC,WINNIE,WINNIE,22/23/23/24,SCRAGGY/GRIMER_ALOLAN/GASTLY/SNEASEL,24,win,22,5,5,
92,DanceTheatre,KIMONO_GIRL,NAOKO2,NAOKO,24,FLAREON,24,win,9,4,5,
93,DanceTheatre,KIMONO_GIRL,SAYO,SAYO,24,ESPEON,24,win,10,2,5,
94,DanceTheatre,KIMONO_GIRL,ZUKI,ZUKI,24,UMBREON,24,win,4,0,5,
95,DanceTheatre,KIMONO_GIRL,KUNI,KUNI,24,VAPOREON,24,loss,9,6,5,
96,DanceTheatre,KIMONO_GIRL,MIKI,MIKI,24,JOLTEON,24,win,10,1,5,
97,DanceTheatre,KIMONO_GIRL,FUYU,FUYU,24,GLACEON,24,win,4,0,5,
98,DanceTheatre,KIMONO_GIRL,HANA,HANA,24,LEAFEON,24,win,11,2,5,
99,DanceTheatre,KIMONO_GIRL,YUMI,YUMI,24,SYLVEON,24,win,12,3,5,
100,EcruteakGym,SAGE,JEFFREY,JEFFREY,24/24/24,GASTLY/MISDREAVUS/CORSOLA_GALARIAN,24,win,14,4,5,
101,NationalPark,LASS,KRISE,KRISE,23/24,MORGREM/TANGELA,24,win,26,5,5,
102,NationalPark,SCHOOLBOY,JACK1,JACK,23/24,TEDDIURSA/BUNEARY,24,win,4,0,5,
103,Route30,YOUNGSTER,JOEY2,JOEY,24,GIRAFARIG,24,win,5,1,5,
104,Route31,BUG_CATCHER,WADE2,WADE,24/24,SIZZLIPEDE/YANMA,24,win,8,1,5,
105,Route32,FISHER,RALPH2,RALPH,24,REMORAID,24,win,2,1,5,
106,Route32,PICNICKER,LIZ2,LIZ,23/24,SLOWPOKE/TOGETIC,24,win,8,2,5,
107,Route36,SCHOOLBOY,ALAN1,ALAN,24/24,SANDSHREW_ALOLAN/SMOOCHUM,24,win,4,0,5,
108,SilentCrypt,MEDIUM,BETHANY,BETHANY,22/23/24,MURKROW/IMPIDIMP/WOBBUFFET,24,win,18,1,5,
109,BurnedTower1F,RIVAL1,RIVAL1_3_TOTODILE,?,23/23/24/25,GLIGAR/MAGNEMITE/SLOWPOKE_GALARIAN/CROCONAW,25,loss,16,6,5,
110,EcruteakGym,SAGE,PING,PING,25,MISDREAVUS,25,win,8,3,5,
111,Route37,PSYCHIC_T,GREG,GREG,25,CLEFAIRY,25,win,16,2,5,
112,Route37,TWINS,ANNANDANNE1,ANN & ANNE,25/25,LEDYBA/SENTRET,25,win,8,1,5,
113,Route37,TWINS,ANNANDANNE2,ANN & ANNE,25/25,KOTORA/SNUBBULL,25,win,6,1,5,
114,Route39,POKEFANF,JAIME,JAIME,25,FLETCHLING,25,win,4,1,5,
115,EcruteakGym,MORTY,MORTY1,MORTY,24/25/25/26,GOLETT/MISDREAVUS/DUSCLOPS/GENGAR,26,loss,18,6,5,
116,Route38,LASS,DANA1,DANA,26/27,TOGETIC/MISDREAVUS,27,win,12,5,5,
117,Route39,POKEFANM,DEREK1,DEREK,27/27,MISDREAVUS/SNUBBULL,27,win,8,2,5,
118,Route39,SAILOR,EUGENE,EUGENE,25/27,MARILL/REMORAID,27,win,7,2,5,
119,Route41,SWIMMERF,KAYLEE,KAYLEE,27/27/27,CHINCHOU/MAREANIE/KRABBY,27,win,11,3,5,
120,Route41,SWIMMERM,KIRK,KIRK,27/27,TENTACOOL/LOMBRE,27,win,6,2,5,
121,CianwoodGym,BLACKBELT_T,NOB,NOB,28/28,MACHOKE/BRELOOM,28,loss,13,6,5,
122,CianwoodGym,BLACKBELT_T,LUNG,LUNG,28/28/28,GURDURR/HITMONTOP/LEDIAN,28,loss,15,6,5,
123,Route38,BEAUTY,VALERIE,VALERIE,27/28,TOGETIC/PONYTA_GALARIAN,28,win,10,2,5,
124,Route38,BEAUTY,OLIVIA,OLIVIA,28,STANTLER,28,win,3,0,5,
125,Route38,BIRD_KEEPER,TOBY,TOBY,28/28,NATU/FLETCHINDER,28,win,15,5,5,
126,Route38,SAILOR,HARRY,HARRY,28,POLIWHIRL,28,win,5,1,5,
127,Route38,SCHOOLBOY,CHAD1,CHAD,28/28,VOLTORB/CHINCHOU,28,win,6,2,5,
128,Route39,POKEFANF,RUTH,RUTH,28,ELEKID,28,win,5,1,5,
129,Route39,PSYCHIC_T,NORMAN,NORMAN,27/28,CLEFAIRY/MISDREAVUS,28,win,12,3,5,
130,Route40,SWIMMERF,ELAINE,ELAINE,28,MAREANIE,28,win,7,1,5,
131,Route40,SWIMMERM,SIMON,SIMON,28/28,REMORAID/SHELLDER,28,win,8,3,5,
132,Route40,SWIMMERM,RANDALL,RANDALL,28/28,GOLDEEN/CHINCHOU,28,win,7,2,5,
133,MountMortar1FInside,SUPER_NERD,MARKUS,MARKUS,29,MAGNEMITE,29,win,2,0,5,
134,NationalPark,SCHOOLBOY,JACK2,JACK,28/29,DODUO/KOTORA,29,win,8,1,5,
135,Route30,YOUNGSTER,JOEY3,JOEY,29,NIDORINO,29,win,8,2,5,
136,Route33,HIKER,ANTHONY1,ANTHONY,29/29,DUGTRIO_ALOLAN/SANDSLASH,29,loss,21,6,5,
137,Route36,SCHOOLBOY,ALAN2,ALAN,28/29,FLAAFFY/KADABRA,29,win,9,2,5,
138,Route40,SWIMMERF,PAULA,PAULA,28/29,TENTACOOL/LOMBRE,29,win,6,2,5,
139,Route41,SWIMMERF,KARA,KARA,28/29,STARYU/LOMBRE,29,win,7,2,5,
140,Route41,SWIMMERM,CHARLIE,CHARLIE,29/29,LOMBRE/KRABBY,29,win,8,2,5,
141,Route41,SWIMMERM,GEORGE,GEORGE,29/29/29,CHINCHOU/TENTACOOL/PSYDUCK,29,win,11,3,5,
142,Route41,SWIMMERM,MATHEW,MATHEW,29/29,CORSOLA/REMORAID,29,win,9,3,5,
143,CianwoodGym,BLACKBELT_T,YOSHI,YOSHI,30,MANKEY,30,win,3,0,5,
144,CianwoodGym,BLACKBELT_T,LAO,LAO,30,HITMONTOP,30,win,5,1,5,
145,MountMortar1FInside,POKEMANIAC,MILLER,MILLER,30/30,GEODUDE/SWINUB,30,win,5,0,5,
146,Route41,SWIMMERF,SUSIE,SUSIE,29/30,CORSOLA/SHELLDER,30,win,4,1,5,
147,Route41,SWIMMERF,DENISE,DENISE,30,MAREANIE,30,win,5,1,5,
148,Route41,SWIMMERF,WENDY,WENDY,29/30,LANTURN/QWILFISH,30,win,5,1,5,
149,Route41,SWIMMERM,BERKE,BERKE,30,SEEL,30,win,3,1,5,
150,OlivineLighthouse3F,GENTLEMAN,PRESTON,PRESTON,31/31,GROWLITHE/PERSIAN,31,win,7,1,5,
151,MountMortarB1F,BLACKBELT_T,KIYO,KIYO,32/32,CROAGUNK/GURDURR,32,win,4,1,5,
152,OlivineLighthouse3F,BIRD_KEEPER,THEO,THEO,32,NATU,32,win,2,0,5,
153,OlivineLighthouse4F,LASS,CONNIE1,CONNIE,31/32,LOMBRE/REMORAID,32,win,4,1,5,
154,OlivineLighthouse3F,SAILOR,TERRELL,TERRELL,33,SEEL,33,win,4,1,5,
155,OlivineLighthouse4F,SAILOR,KENT,KENT,33/33,CHINCHOU/REMORAID,33,win,5,1,5,
156,Route42,FISHER,TULLY1,TULLY,33,LOMBRE,33,win,2,0,5,
157,Route42,HIKER,BENJAMIN,BENJAMIN,33/33,NUMEL/SANDSHREW,33,win,4,1,5,
158,Route42,POKEMANIAC,SHANE,SHANE,33/33,DUNSPARCE/PHANPY,33,win,4,1,5,
159,CianwoodCity,CRYSTAL,CRYSTAL_3_CHIKORITA,CRYSTAL,32/34/33/34,XATU/MAROWAK/DIPPLIN/BAYLEEF,34,loss,13,6,5,
160,CianwoodCity,CRYSTAL,CRYSTAL_3_CYNDAQUIL,CRYSTAL,32/34/33/34,XATU/MAROWAK/DIPPLIN/QUILAVA,34,loss,13,6,5,
161,CianwoodCity,CRYSTAL,CRYSTAL_3_TOTODILE,CRYSTAL,32/34/33/34,XATU/MAROWAK/DIPPLIN/CROCONAW,34,loss,13,6,5,
162,CianwoodCity,MYSTICALMAN,EUSINE,EUSINE,33/33/34,HYPNO/HAUNTER/ELECTRODE,34,win,13,2,5,
163,OlivineLighthouse2F,GENTLEMAN,ALFRED,ALFRED,34,PONYTA_GALARIAN,34,win,2,0,5,
164,OlivineLighthouse2F,SAILOR,HUEY1,HUEY,32/34,CHINCHOU/LOMBRE,34,win,8,1,5,
165,OlivineLighthouse5F,BIRD_KEEPER,DENIS,DENIS,34/34,WATU/CORVISQUIRE,34,win,4,0,5,
166,OlivineLighthouse5F,SAILOR,ERNEST,ERNEST,32/34/34,REMORAID/CHINCHOU/POLIWHIRL,34,win,8,1,5,
167,Route34,CAMPER,TODD2,TODD,31/33/34,VOLTORB_HISUIAN/SNOVER/MAGBY,34,win,5,1,5,
168,Route38,LASS,DANA2,DANA,34/34,STARYU/CHINCHOU,34,win,5,1,5,
169,Route38,SCHOOLBOY,CHAD2,CHAD,32/34,PERRSERKER/NATU,34,win,4,1,5,
170,TeamRocketBaseB1F,GRUNTM,GRUNTM_20,GRUNT,34/34,ODDISH/SEVIPER,34,win,4,1,5,
171,TeamRocketBaseB1F,GRUNTM,GRUNTM_21,GRUNT,34/34/34,DRIFLOON/SNEASEL/GLIMMET,34,win,7,1,5,
172,CianwoodGym,CHUCK,CHUCK1,CHUCK,33/33/34/34/35,HITMONTOP/GURDURR/BRELOOM/SCRAFTY/POLIWRATH,35,loss,17,6,5,
173,OlivineGym,LASS,DANIELLE,DANIELLE,33/34/35,LAIRON/FORRETRESS/SKARMORY,35,win,11,1,5,
174,OlivineGym,LASS,KATHRYN,KATHRYN,34/34/35,MAGNETON/SKARMORY/FORRETRESS,35,win,11,3,5,
175,Route43,PICNICKER,TIFFANY3,TIFFANY,35,RATICATE_ALOLAN,35,win,5,1,5,
176,TeamRocketBaseB2F,GRUNTM,GRUNTM_18,GRUNT,34/34/35,PERSIAN_ALOLAN/HOUNDOUR/DUSCLOPS,35,win,10,2,5,
177,LakeOfRage,COOLTRAINERM,AARON,AARON,36/36/36,CROCONAW/POLIWHIRL/AZUMARILL,36,win,11,2,5,
178,LakeOfRage,FISHER,ANDRE,ANDRE,36,CORSOLA,36,win,4,1,5,
179,OlivineGym,JASMINE,JASMINE1,JASMINE,34/35/35/36/36,CORVIKNIGHT/AGGRON/BASTIODON/TINKATON/STEELIX,36,loss,21,6,5,
180,Route43,CAMPER,SPENCER,SPENCER,36/36,SKIPLOOM/SUNFLORA,36,win,7,1,5,
181,Route43,FISHER,MARVIN,MARVIN,36/36,SEALEO/PSYDUCK,36,win,5,0,5,
182,TeamRocketBaseB2F,GRUNTF,GRUNTF_12,GRUNT,36,MISDREAVUS,36,win,3,0,5,
183,TeamRocketBaseB3F,GRUNTF,GRUNTF_5,GRUNT,36/36,QWILFISH/MISDREAVUS,36,win,7,2,5,
184,TeamRocketBaseB3F,GRUNTM,GRUNTM_28,GRUNT,36/36/36/36,MAROWAK_ALOLAN/HOUNDOUR/SCRAGGY/MURKROW,36,win,13,3,5,
185,TeamRocketBaseB3F,SCIENTIST,ROSS,ROSS,36/36,CROAGUNK/ARIADOS,36,win,2,0,5,
186,TeamRocketBaseB3F,SCIENTIST,MITCH,MITCH,36,MAGNETON,36,win,6,1,5,
187,LakeOfRage,COOLTRAINERF,LOIS,LOIS,36/37,LOMBRE/SLOWPOKE,37,win,7,1,5,
188,LakeOfRage,FISHER,RAYMOND,RAYMOND,37,GOLDEEN,37,win,2,0,5,
189,Route31,BUG_CATCHER,WADE3,WADE,37/37/37,VENONAT/YANMA/WHIRLIPEDE,37,win,6,0,5,
190,Route34,PICNICKER,GINA2,GINA,35/35/37,AIPOM/SNUBBULL/QUAGSIRE,37,win,9,2,5,
191,Route43,POKEMANIAC,BEN,BEN,37/37,URSARING/GIRAFARIG,37,win,7,3,5,
192,Route43,POKEMANIAC,BRENT1,BRENT,37/37,FURRET/MUNCHLAX,37,win,7,1,5,
193,Route43,POKEMANIAC,RON,RON,37/37,RAITORA/URSARING,37,win,6,2,5,
194,TeamRocketBaseB1F,GRUNTF,GRUNTF_11,GRUNT,37,WEEPINBELL,37,win,1,0,5,
195,TeamRocketBaseB1F,SCIENTIST,JED,JED,37/37,QWILFISH/MAREANIE,37,win,3,0,5,
196,GoldenrodUndergroundSwitchRoomEntrances,BURGLAR,DUNCAN,DUNCAN,38/38,GLOOM/BEEDRILL,38,loss,15,6,5,
197,GoldenrodUndergroundSwitchRoomEntrances,BURGLAR,EDDIE,EDDIE,38/38,NIDORINA/MURKROW,38,win,6,1,5,
198,MahoganyGym,BOARDER,RONALD,RONALD,37/38,DELIBIRD/SMOOCHUM,38,win,6,1,5,
199,MahoganyGym,BOARDER,BRAD,BRAD,38/38,JYNX/SNORUNT,38,win,11,5,5,
200,MahoganyGym,BOARDER,DOUGLAS,DOUGLAS,37/37/38,DELIBIRD/JYNX/SNORUNT,38,win,10,3,5,
201,MahoganyGym,SKIER,ROXANNE,ROXANNE,38,SMOOCHUM,38,win,4,1,5,
202,MountMortar2FInside,SUPER_NERD,HUGH,HUGH,38,MAGNETON,38,win,5,1,5,
203,RadioTower3F,GRUNTF,GRUNTF_8,GRUNT,38/38,GENGAR/WEEZING,38,win,5,1,5,
204,RadioTower3F,GRUNTM,GRUNTM_7,GRUNT,38/38/38,SNEASEL/GIRAFARIG/URSARING,38,win,8,2,5,
205,Route32,FISHER,RALPH3,RALPH,38/38,MAREANIE/CHINCHOU,38,win,3,0,5,
206,Route32,PICNICKER,LIZ3,LIZ,37/37/38,STARYU/YANMA/REMORAID,38,win,8,2,5,
207,Route35,BUG_CATCHER,ARNIE2,ARNIE,38/38,VENONAT/YANMA,38,win,3,0,5,
208,Route42,FISHER,TULLY2,TULLY,38,CHINCHOU,38,win,3,0,5,
209,Route43,POKEMANIAC,BRENT2,BRENT,38,AIPOM,38,win,3,0,5,
210,TeamRocketBaseB2F,ARIANA,ARIANA1,ARIANA,37/37/38/38,HOUNDOUR/DEINO/ARIADOS/MURKROW,38,win,19,5,5,
211,TeamRocketBaseB2F,GRUNTF,GRUNTF_13,GRUNT,38,SEVIPER,38,win,5,1,5,
212,TeamRocketBaseB3F,PETREL,PETREL1,PETREL,37/38/38/38,ARBOK/HAUNTER/MURKROW/HOUNDOUR,38,loss,19,6,5,
213,GoldenrodUndergroundSwitchRoomEntrances,GRUNTF,GRUNTF_3,GRUNT,38/38/38/39,AIPOM/DUNSPARCE/STANTLER/HOUNDOOM,39,win,11,3,5,
214,GoldenrodUndergroundWarehouse,GRUNTM,GRUNTM_15,GRUNT,39/39/39/39/39,PILOSWINE/QWILFISH/SNEASEL/STEELIX/GLIGAR,39,win,13,3,5,
215,MahoganyGym,SKIER,CLARISSA,CLARISSA,39,SNEASEL,39,win,5,1,5,
216,RadioTower2F,GRUNTM,GRUNTM_4,GRUNT,39/39,GLOOM/SEVIPER,39,win,6,1,5,
217,RadioTower3F,GRUNTF,GRUNTF_9,GRUNT,39/39,ARIADOS/GENGAR,39,win,4,1,5,
218,RadioTower4F,GRUNTM,GRUNTM_10,GRUNT,39/39/39,URSARING/SLOWBRO_GALARIAN/RATICATE_ALOLAN,39,win,12,5,5,
219,BlackthornGym1F,COOLTRAINERM,PAUL,PAUL,36/40/40/40,DRAGONAIR/ZWEILOUS/DUNSPARCE/DRAKLOAK,40,loss,21,6,5,
220,GoldenrodUndergroundSwitchRoomEntrances,GRUNTF,GRUNTF_10,GRUNT,39/40,SCRAFTY/PILOSWINE,40,win,3,0,5,
221,GoldenrodUndergroundSwitchRoomEntrances,GRUNTM,GRUNTM_13,GRUNT,39/40,OVERQWIL/PIDGEOT,40,win,4,0,5,
222,GoldenrodUndergroundSwitchRoomEntrances,GRUNTM,GRUNTM_25,GRUNT,39/40,TOXICROAK/ARBOK,40,win,2,0,5,
223,GoldenrodUndergroundWarehouse,GRUNTF,GRUNTF_14,GRUNT,40,QWILFISH,40,win,2,0,5,
224,GoldenrodUndergroundWarehouse,GRUNTM,GRUNTM_14,GRUNT,38/38/40,ARIADOS/CAMERUPT/STEELIX,40,win,6,1,5,
225,MahoganyGym,PRYCE,PRYCE1,PRYCE,37/38/38/39/39/40,NINETALES_ALOLAN/DEWGONG/WEAVILE/AURORUS/ABOMASNOW/MAMOSWINE,40,loss,14,6,5,
226,RadioTower1F,GRUNTF,GRUNTF_6,GRUNT,40/40/40,SALAZZLE/SCOLIPEDE/ARIADOS,40,win,9,3,5,
227,RadioTower2F,GRUNTF,GRUNTF_7,GRUNT,40/40/40,GENGAR/QWILFISH/LICKITUNG,40,win,5,1,5,
228,RadioTower2F,GRUNTM,GRUNTM_6,GRUNT,40/40,FEAROW/WEEPINBELL,40,win,2,0,5,
229,RadioTower4F,GRUNTF,GRUNTF_4,GRUNT,39/40/40/40,WEEZING_GALARIAN/MURKROW/NIDORINA/PERSIAN,40,win,5,0,5,
230,Route44,PSYCHIC_T,PHIL,PHIL,40/40/40,NINETALES/WOBBUFFET/ALAKAZAM,40,win,13,5,5,
