sequence_index,sheet_slot,species,has_second_frame
126,132,gen7_extra_39,1
127,133,gen7_extra_40,1
128,144,gen7_extra_41,0
129,145,grookey,1
130,146,thwackey,0
131,147,rillaboom,1
132,148,scorbunny,1
133,149,raboot,1
134,150,cinderace,0
135,151,sobble,1
136,152,drizzile,1
137,153,inteleon,1
138,154,skwovet,1
139,155,greedent,1
140,156,rookidee,1
141,157,corvisquire,1
142,158,corviknight,1
143,159,blipbug,0
144,160,dottler,1
145,161,orbeetle,1
146,162,nickit,1
147,163,thievul,1
148,164,gossifleur,1
149,165,eldegoss,1
150,166,wooloo,1
151,167,dubwool,1
152,168,chewtle,1
153,169,drednaw,1
154,170,yamper,1
155,171,boltund,1
156,172,rolycoly,1
157,173,carkol,1
158,174,coalossal,1
159,175,applin,1
160,176,flapple,1
161,177,appletun,1
162,178,silicobra,1
163,179,sandaconda,1
164,180,cramorant,1
165,181,arrokuda,1
166,182,barraskewda,1
167,183,toxel,1
168,184,toxtricity,1
169,185,sizzlipede,1
170,186,centiskorch,1
171,187,clobbopus,1
172,188,grapploct,1
173,189,sinistea,1
174,190,polteageist,1
175,191,hatenna,1
176,192,hattrem,1
177,193,hatterene,1
178,194,impidimp,1
179,195,morgrem,1
180,196,grimmsnarl,1
181,197,obstagoon,1
182,198,perrserker,1
183,199,cursola,1
184,200,sirfetchd,1
185,201,mr_rime,1
186,202,runerigus,1
187,203,milcery,1
188,204,alcremie,1
189,205,falinks,1
190,206,pincurchin,1
191,207,snom,1
192,208,frosmoth,1
193,209,stonjourner,1
194,210,eiscue,1
195,211,indeedee,1
196,212,morpeko,1
197,213,cufant,1
198,214,copperajah,1
199,215,dracozolt,1
200,216,arctozolt,1
201,217,dracovish,1
202,218,arctovish,1
203,219,duraludon,1
204,220,dreepy,1
205,221,drakloak,1
206,222,dragapult,1
207,223,zacian,1
208,224,zamazenta,1
209,225,eternatus,1
210,226,kubfu,1
211,227,urshifu,1
212,228,zarude,1
213,229,regieleki,1
214,230,regidrago,1
215,231,glastrier,1
216,232,spectrier,1
217,233,calyrex,1
218,234,wyrdeer,1
219,235,kleavor,1
220,236,ursaluna,1
221,237,basculegion,1
222,238,sneasler,1
223,239,overqwil,1
224,240,enamorus,1
225,241,gen8_extra_01,1
226,242,gen8_extra_02,1
227,243,gen8_extra_03,1
228,244,gen8_extra_04,1
229,245,gen8_extra_05,1
230,246,gen8_extra_06,1
231,247,gen8_extra_07,1
232,248,gen8_extra_08,1
233,249,gen8_extra_09,1
234,250,gen8_extra_10,1
235,251,gen8_extra_11,1
236,252,gen8_extra_12,1
237,253,gen8_extra_13,1
238,254,gen8_extra_14,1
239,270,gen8_extra_15,1
240,271,gen8_extra_16,1
241,272,gen8_extra_17,1
242,273,gen8_extra_18,1
243,274,gen8_extra_19,1
244,275,gen8_extra_20,1
245,276,gen8_extra_21,1
246,277,gen8_extra_22,1
247,278,gen8_extra_23,1
248,279,gen8_extra_24,1
249,280,gen8_extra_25,1
250,281,gen8_extra_26,1
251,282,gen8_extra_27,1
252,283,gen8_extra_28,1
253,284,gen8_extra_29,1
254,285,gen8_extra_30,1
255,286,gen8_extra_31,1
256,287,gen8_extra_32,1
257,288,gen8_extra_33,1
258,289,gen8_extra_34,1
259,290,gen8_extra_35,1
260,291,gen8_extra_36,1
261,292,gen8_extra_37,1
262,293,gen8_extra_38,1
263,294,gen8_extra_39,1
264,295,gen8_extra_40,1
265,296,gen8_extra_41,1
266,297,gen8_extra_42,1
267,298,gen8_extra_43,1
268,299,gen8_extra_44,1
269,300,gen8_extra_45,1
270,301,gen8_extra_46,1
271,302,gen8_extra_47,1
272,303,gen8_extra_48,1
273,304,gen8_extra_49,1
274,305,gen8_extra_50,1
275,306,gen8_extra_51,1
276,307,gen8_extra_52,1
277,308,gen8_extra_53,1
278,324,gen8_extra_54,1
279,325,gen8_extra_55,1
280,326,gen8_extra_56,1
281,327,gen8_extra_57,1
282,328,gen8_extra_58,1
283,329,gen8_extra_59,1
284,330,gen8_extra_60,1
285,331,gen8_extra_61,1
286,332,gen8_extra_62,1
287,333,gen8_extra_63,1
288,334,gen8_extra_64,1
289,335,gen8_extra_65,1
290,336,gen8_extra_66,1
291,337,gen8_extra_67,1
292,338,gen8_extra_68,1
293,339,gen8_extra_69,1
294,340,gen8_extra_70,1
295,341,gen8_extra_71,1
296,342,gen8_extra_72,1
297,343,gen8_extra_73,1
298,344,gen8_extra_74,1
299,345,gen8_extra_75,1
300,346,gen8_extra_76,1
301,347,gen8_extra_77,1
302,348,gen8_extra_78,1
303,349,gen8_extra_79,1
304,350,gen8_extra_80,1
305,351,gen8_extra_81,1
306,352,gen8_extra_82,1
307,353,gen8_extra_83,1
308,354,gen8_extra_84,1
309,355,gen8_extra_85,1
310,388,gen8_extra_86,0
311,389,gen8_extra_87,0
312,390,gen8_extra_88,0
313,391,gen8_extra_89,0
314,392,gen8_extra_90,0
315,393,gen8_extra_91,0
316,394,gen8_extra_92,0
317,395,gen8_extra_93,0
