map,line,kind,class,id,event,name,levels,species
BlackthornGym1F,110,trainer,COOLTRAINERM,PAUL,EVENT_BEAT_COOLTRAINERM_PAUL,PAUL,36/40/40/40,DRAGONAIR/ZWEILOUS/DUNSPARCE/DRAKLOAK
BlackthornGym1F,121,trainer,COOLTRAINERM,MIKE,EVENT_BEAT_COOLTRAINERM_MIKE,MIKE,42/42/43,DRAGONAIR/KINGDRA/CHARIZARD
BlackthornGym1F,132,trainer,COOLTRAINERF,LOLA,EVENT_BEAT_COOLTRAINERF_LOLA,LOLA,41/41/42/42,SHELGON/APPLETUN/ZWEILOUS/CHARIZARD
BlackthornGym2F,60,trainer,COOLTRAINERM,CODY,EVENT_BEAT_COOLTRAINERM_CODY,CODY,41/42/42/43,KINGDRA/AMPHAROS/HYDRAPPLE/EXEGGUTOR_ALOLAN
BlackthornGym2F,71,trainer,COOLTRAINERF,FRAN,EVENT_BEAT_COOLTRAINERF_FRAN,FRAN,41/41/41,KINGDRA/APPLETUN/ARCTIBAX
BrunosRoom,54,loadtrainer,BRUNO,BRUNO1,EVENT_BEAT_ELITE_4_BRUNO,BRUNO,51/52/52/53/53/54,CONKELDURR/HITMONTOP/LUCARIO/TOXICROAK/ANNIHILAPE/MACHAMP
BrunosRoom,57,loadtrainer,BRUNO_REMATCH,BRUNO2,EVENT_BEAT_ELITE_4_BRUNO,BRUNO,95/96/96/97/97/97,LUCARIO/POLIWRATH/HERACROSS/CONKELDURR/ANNIHILAPE/MACHAMP
BurnedTower1F,74,loadtrainer,RIVAL1,RIVAL1_3_TOTODILE,,?,23/23/24/25,GLIGAR/MAGNEMITE/SLOWPOKE_GALARIAN/CROCONAW
BurnedTower1F,83,loadtrainer,RIVAL1,RIVAL1_3_CHIKORITA,,?,23/23/24/25,GLIGAR/MAGNEMITE/SLOWPOKE/BAYLEEF
BurnedTower1F,92,loadtrainer,RIVAL1,RIVAL1_3_CYNDAQUIL,,?,23/23/24/25,GLIGAR/MAGNEMITE/SLOWPOKE/QUILAVA
BurnedTower1F,128,trainer,HEX_MANIAC,WINNIE,EVENT_BEAT_HEX_MANIAC_WINNIE,WINNIE,22/23/23/24,SCRAGGY/GRIMER_ALOLAN/GASTLY/SNEASEL
CeladonGym,23,loadtrainer,ERIKA,ERIKA1,EVENT_BEAT_ERIKA,ERIKA,67/68/68/69/69/70,LUDICOLO/JUMPLUFF/VILEPLUME/VICTREEBEL/EXEGGUTOR/TSAREENA
CeladonGym,51,trainer,LASS,MICHELLE,EVENT_BEAT_LASS_MICHELLE,MICHELLE,67/67/68,VILEPLUME/LUDICOLO/JUMPLUFF
CeladonGym,62,trainer,AROMA_LADY,TANYA,EVENT_BEAT_AROMA_LADY_TANYA,TANYA,68/68/68,VILEPLUME/JUMPLUFF/TANGROWTH
CeladonGym,73,trainer,BEAUTY,JULIA,EVENT_BEAT_BEAUTY_JULIA,JULIA,67/69/69,ELECTRODE_HISUIAN/TSAREENA/VILEPLUME
CeladonGym,84,trainer,TWINS,JOANDZOE1,EVENT_BEAT_TWINS_JO_AND_ZOE,JO & ZOE,68/68,JUMPLUFF/PARASECT
CeladonGym,95,trainer,TWINS,JOANDZOE2,EVENT_BEAT_TWINS_JO_AND_ZOE,JO & ZOE,68/68,VICTREEBEL/EXEGGUTOR
CeruleanGym,68,loadtrainer,MISTY,MISTY1,EVENT_BEAT_MISTY,MISTY,63/64/64/65/65/66,MILOTIC/WALREIN/GYARADOS/AZUMARILL/LANTURN/STARMIE
CeruleanGym,87,trainer,SWIMMERF,DIANA,EVENT_BEAT_SWIMMERF_DIANA,DIANA,64/64/64,MILOTIC/POLITOED/WALREIN
CeruleanGym,98,trainer,SWIMMERF,BRIANA,EVENT_BEAT_SWIMMERF_BRIANA,BRIANA,65/65/65,LUDICOLO/TOXAPEX/TAUROS_PALDEAN_WATER
CeruleanGym,109,trainer,SWIMMERM,PARKER,EVENT_BEAT_SWIMMERM_PARKER,PARKER,64/64/64,SLOWBRO/OCTILLERY/TAUROS_PALDEAN_WATER
CherrygroveCity,139,loadtrainer,RIVAL1,RIVAL1_1_TOTODILE,,?,5,TOTODILE
CherrygroveCity,150,loadtrainer,RIVAL1,RIVAL1_1_CHIKORITA,,?,5,CHIKORITA
CherrygroveCity,161,loadtrainer,RIVAL1,RIVAL1_1_CYNDAQUIL,,?,5,CYNDAQUIL
CianwoodCity,75,loadtrainer,MYSTICALMAN,EUSINE,,EUSINE,33/33/34,HYPNO/HAUNTER/ELECTRODE
CianwoodCity,132,loadtrainer,CRYSTAL,CRYSTAL_3_CHIKORITA,,CRYSTAL,32/34/33/34,XATU/MAROWAK/DIPPLIN/BAYLEEF
CianwoodCity,136,loadtrainer,CRYSTAL,CRYSTAL_3_CYNDAQUIL,,CRYSTAL,32/34/33/34,XATU/MAROWAK/DIPPLIN/QUILAVA
CianwoodCity,140,loadtrainer,CRYSTAL,CRYSTAL_3_TOTODILE,,CRYSTAL,32/34/33/34,XATU/MAROWAK/DIPPLIN/CROCONAW
CianwoodGym,41,loadtrainer,CHUCK,CHUCK1,EVENT_BEAT_CHUCK,CHUCK,33/33/34/34/35,HITMONTOP/GURDURR/BRELOOM/SCRAFTY/POLIWRATH
CianwoodGym,79,loadtrainer,CHUCK_REMATCH,CHUCK2,EVENT_BEAT_CHUCK_REMATCH,CHUCK,92/92/93/93/94/94,MACHAMP/CONKELDURR/GALLADE/SIRFETCH_D/ANNIHILAPE/POLIWRATH
CianwoodGym,104,trainer,BLACKBELT_T,YOSHI,EVENT_BEAT_BLACKBELT_YOSHI,YOSHI,30,MANKEY
CianwoodGym,115,trainer,BLACKBELT_T,LAO,EVENT_BEAT_BLACKBELT_LAO,LAO,30,HITMONTOP
CianwoodGym,126,trainer,BLACKBELT_T,NOB,EVENT_BEAT_BLACKBELT_NOB,NOB,28/28,MACHOKE/BRELOOM
CianwoodGym,137,trainer,BLACKBELT_T,LUNG,EVENT_BEAT_BLACKBELT_LUNG,LUNG,28/28/28,GURDURR/HITMONTOP/LEDIAN
CinnabarIsland,47,loadtrainer,BLUE_CLOAK,BLUE_CLOAK1,EVENT_BEAT_BLUE_CLOAK,,97/98/98/99/99/99,PIDGEOT/SCIZOR/RHYPERIOR/EXEGGUTOR/ELECTIVIRE/BLASTOISE
DanceTheatre,21,trainer,KIMONO_GIRL,NAOKO2,EVENT_BEAT_KIMONO_GIRL_NAOKO,NAOKO,24,FLAREON
DanceTheatre,32,trainer,KIMONO_GIRL,SAYO,EVENT_BEAT_KIMONO_GIRL_SAYO,SAYO,24,ESPEON
DanceTheatre,43,trainer,KIMONO_GIRL,ZUKI,EVENT_BEAT_KIMONO_GIRL_ZUKI,ZUKI,24,UMBREON
DanceTheatre,54,trainer,KIMONO_GIRL,KUNI,EVENT_BEAT_KIMONO_GIRL_KUNI,KUNI,24,VAPOREON
DanceTheatre,65,trainer,KIMONO_GIRL,MIKI,EVENT_BEAT_KIMONO_GIRL_MIKI,MIKI,24,JOLTEON
DanceTheatre,76,trainer,KIMONO_GIRL,FUYU,EVENT_BEAT_KIMONO_GIRL_FUYU,FUYU,24,GLACEON
DanceTheatre,87,trainer,KIMONO_GIRL,HANA,EVENT_BEAT_KIMONO_GIRL_HANA,HANA,24,LEAFEON
DanceTheatre,98,trainer,KIMONO_GIRL,YUMI,EVENT_BEAT_KIMONO_GIRL_YUMI,YUMI,24,SYLVEON
DragonsDenB1F,85,trainer,COOLTRAINERM,DARIN,EVENT_BEAT_COOLTRAINERM_DARIN,DARIN,46/46/46/46,AMPHAROS/KINGDRA/EXEGGUTOR_ALOLAN/DIPPLIN
DragonsDenB1F,96,trainer,COOLTRAINERF,CARA,EVENT_BEAT_COOLTRAINERF_CARA,CARA,44/45/46,DUNSPARCE/DRAGONAIR/DIPPLIN
DragonsDenB1F,107,trainer,TWINS,LEAANDPIA1,EVENT_BEAT_TWINS_LEA_AND_PIA,LEA & PIA,46/46/47/47,DUNSPARCE/APPLETUN/AMPHAROS/KINGDRA
DragonsDenB1F,118,trainer,TWINS,LEAANDPIA1,EVENT_BEAT_TWINS_LEA_AND_PIA,LEA & PIA,46/46/47/47,DUNSPARCE/APPLETUN/AMPHAROS/KINGDRA
EcruteakGym,33,loadtrainer,MORTY,MORTY1,EVENT_BEAT_MORTY,MORTY,24/25/25/26,GOLETT/MISDREAVUS/DUSCLOPS/GENGAR
EcruteakGym,74,loadtrainer,MORTY_REMATCH,MORTY2,EVENT_BEAT_MORTY_REMATCH,MORTY,91/91/92/92/93/93,MISMAGIUS/DUSKNOIR/MIMIKYU/CHANDELURE/DRAGAPULT/GENGAR
EcruteakGym,115,trainer,SAGE,JEFFREY,EVENT_BEAT_SAGE_JEFFREY,JEFFREY,24/24/24,GASTLY/MISDREAVUS/CORSOLA_GALARIAN
EcruteakGym,126,trainer,SAGE,PING,EVENT_BEAT_SAGE_PING,PING,25,MISDREAVUS
EcruteakGym,137,trainer,MEDIUM,MARTHA,EVENT_BEAT_MEDIUM_MARTHA,MARTHA,23/23,DUSKULL/SHUPPET
EcruteakGym,148,trainer,MEDIUM,GRACE,EVENT_BEAT_MEDIUM_GRACE,GRACE,23/23,GASTLY/SHUPPET
FastShipB1F,95,trainer,SAILOR,JEFF,EVENT_BEAT_SAILOR_JEFF,JEFF,53/53,AZUMARILL/HITMONCHAN
FastShipB1F,106,trainer,AROMA_LADY,DEBRA,EVENT_BEAT_AROMA_LADY_DEBRA,DEBRA,51/53,LUDICOLO/MEGANIUM
FastShipB1F,117,trainer,JUGGLER,FRITZ,EVENT_BEAT_JUGGLER_FRITZ,FRITZ,52/52/54,GOROTORA/NOCTOWL/ESPEON
FastShipB1F,128,trainer,SAILOR,GARRETT,EVENT_BEAT_SAILOR_GARRETT,GARRETT,53/55,POLIWRATH/KINGLER
FastShipB1F,139,trainer,FISHER,JONAH,EVENT_BEAT_FISHER_JONAH,JONAH,50/50/54/54,OCTILLERY/CLOYSTER/MILOTIC/LUDICOLO
FastShipB1F,150,trainer,BLACKBELT_T,WAI,EVENT_BEAT_BLACKBELT_WAI,WAI,52/54/56,HITMONTOP/LUCARIO/LEDIAN
FastShipB1F,161,trainer,SAILOR,KENNETH,EVENT_BEAT_SAILOR_KENNETH,KENNETH,54/54/54/54,TENTACRUEL/POLITOED/AZUMARILL/LANTURN
FastShipB1F,172,trainer,TEACHER,SHIRLEY,EVENT_BEAT_TEACHER_SHIRLEY,SHIRLEY,53/55,BLISSEY/BANETTE
FastShipB1F,183,trainer,SCHOOLBOY,NATE,EVENT_BEAT_SCHOOLBOY_NATE,NATE,56/56,PORYGON2/BLISSEY
FastShipB1F,194,trainer,SCHOOLBOY,RICKY,EVENT_BEAT_SCHOOLBOY_RICKY,RICKY,56/56,PORYGON2/CHANSEY
FastShipCabins_NNW_NNE_NE,16,trainer,COOLTRAINERM,SEAN,EVENT_BEAT_COOLTRAINERM_SEAN,SEAN,55/55/55,WALREIN/GYARADOS/BLISSEY
FastShipCabins_NNW_NNE_NE,27,trainer,COOLTRAINERF,CAROL,EVENT_BEAT_COOLTRAINERF_CAROL,CAROL,54/54/55,LANTURN/HERACROSS/AZUMARILL
FastShipCabins_NNW_NNE_NE,38,trainer,POKEMANIAC,ETHAN,EVENT_BEAT_POKEMANIAC_ETHAN,ETHAN,55/55,RATICATE/FARIGIRAF
FastShipCabins_NNW_NNE_NE,49,trainer,HIKER,NOLAND,EVENT_BEAT_HIKER_NOLAND,NOLAND,54/54,GOLEM/POLIWRATH
FastShipCabins_NNW_NNE_NE,60,trainer,GENTLEMAN,EDWARD,EVENT_BEAT_GENTLEMAN_EDWARD,EDWARD,54/56,MILTANK/BLISSEY
FastShipCabins_NNW_NNE_NE,71,trainer,BURGLAR,COREY,EVENT_BEAT_BURGLAR_COREY,COREY,49/49/51/53,CROBAT/NINETALES/MAGCARGO/HOUNDOOM
FastShipCabins_NNW_NNE_NE,89,loadtrainer,SAILOR,STANLY,EVENT_BEAT_SAILOR_STANLY,STANLY,52/52/53,POLIWRATH/GOLDUCK/LANTURN
FastShipCabins_SE_SSE_CaptainsCabin,142,trainer,POKEFANM,COLIN,EVENT_BEAT_POKEFANM_COLIN,COLIN,51/53,RATICATE_ALOLAN/PORYGON_Z
FastShipCabins_SE_SSE_CaptainsCabin,153,trainer,TWINS,MEGANDPEG1,EVENT_BEAT_TWINS_MEG_AND_PEG,MEG & PEG,55/55,LOPUNNY/ZANGOOSE
FastShipCabins_SE_SSE_CaptainsCabin,164,trainer,TWINS,MEGANDPEG2,EVENT_BEAT_TWINS_MEG_AND_PEG,MEG & PEG,55/55,FURRET/PORYGON2
FastShipCabins_SE_SSE_CaptainsCabin,175,trainer,PSYCHIC_T,RODNEY,EVENT_BEAT_PSYCHIC_RODNEY,RODNEY,51/51/55,GARDEVOIR/GRANBULL/NOCTOWL
FastShipCabins_SE_SSE_CaptainsCabin,186,trainer,POKEFANM,JEREMY,EVENT_BEAT_POKEFANM_JEREMY,JEREMY,54/54/56,CHANSEY/BANETTE/PORYGON2
FastShipCabins_SE_SSE_CaptainsCabin,197,trainer,POKEFANF,GEORGIA,EVENT_BEAT_POKEFANF_GEORGIA,GEORGIA,53/53/53/53/55,ZANGOOSE/FEAROW/MILTANK/PORYGON2/SNORLAX
FastShipCabins_SE_SSE_CaptainsCabin,208,trainer,SUPER_NERD,SHAWN,EVENT_BEAT_SUPER_NERD_SHAWN,SHAWN,53/54/55,WEEZING/ELECTIVIRE/PORYGON2
FastShipCabins_SW_SSW_NW,13,trainer,FIREBREATHER,LYLE,EVENT_BEAT_FIREBREATHER_LYLE,LYLE,53/53/53,TAUROS_PALDEAN_FIRE/CHANDELURE/SALAZZLE
FastShipCabins_SW_SSW_NW,24,trainer,BUG_CATCHER,KEN,EVENT_BEAT_BUG_CATCHER_KEN,KEN,54/56,VIKAVOLT/LEDIAN
FastShipCabins_SW_SSW_NW,35,trainer,BEAUTY,CASSIE,EVENT_BEAT_BEAUTY_CASSIE,CASSIE,54/56,PORYGON2/MILOTIC
FastShipCabins_SW_SSW_NW,46,trainer,GUITARIST,CLYDE,EVENT_BEAT_GUITARIST_CLYDE,CLYDE,52/54/56,GOROTORA/ELECTIVIRE/WIGGLYTUFF
FuchsiaGym,24,loadtrainer,JANINE,JANINE1,EVENT_BEAT_JANINE,JANINE,75/76/76/77/77/78,TOXAPEX/VENOMOTH/SEVIPER/OVERQWIL/ARIADOS/CROBAT
FuchsiaGym,76,loadtrainer,NINJA,NINJA1,EVENT_BEAT_LASS_ALICE,KANE,72/74/75,ARBOK/GOLBAT/TENTACRUEL
FuchsiaGym,110,loadtrainer,NINJA,NINJA2,EVENT_BEAT_LASS_LINDA,SHIRO,74/74/74,VILEPLUME/GOLBAT/MUK_ALOLAN
FuchsiaGym,144,loadtrainer,NINJA,NINJA3,EVENT_BEAT_PICNICKER_CINDY,KAEDE,73/74/77,NIDOQUEEN/MUK/CROBAT
FuchsiaGym,178,loadtrainer,NINJA,NINJA4,EVENT_BEAT_CAMPER_BARRY,RYU,73/74/77,VENOMOTH/MUK/SEVIPER
GoldenrodGym,31,loadtrainer,WHITNEY,WHITNEY1,EVENT_BEAT_WHITNEY,WHITNEY,19/20/20/21,CLEFAIRY/TEDDIURSA/BUNEARY/MILTANK
GoldenrodGym,85,loadtrainer,WHITNEY_REMATCH,WHITNEY2,EVENT_BEAT_WHITNEY_REMATCH,WHITNEY,91/91/92/92/93/93,BLISSEY/PORYGON_Z/KANGASKHAN/URSALUNA/SNORLAX/MILTANK
GoldenrodGym,110,trainer,LASS,CARRIE,EVENT_BEAT_LASS_CARRIE,CARRIE,20,IMPIDIMP
GoldenrodGym,134,trainer,LASS,BRIDGET,EVENT_BEAT_LASS_BRIDGET,BRIDGET,18/18,SNUBBULL/MARILL
GoldenrodGym,145,trainer,BEAUTY,VICTORIA,EVENT_BEAT_BEAUTY_VICTORIA,VICTORIA,17/19,HOOTHOOT/TOGETIC
GoldenrodGym,156,trainer,BEAUTY,SAMANTHA,EVENT_BEAT_BEAUTY_SAMANTHA,SAMANTHA,20,HOOTHOOT
GoldenrodUnderground,119,trainer,SUPER_NERD,ERIC,EVENT_BEAT_SUPER_NERD_ERIC,ERIC,20/20,MAGNEMITE/VOLTORB
GoldenrodUnderground,130,trainer,SUPER_NERD,TERU,EVENT_BEAT_SUPER_NERD_TERU,TERU,19/19/19,SPINARAK/GLIMMET/EKANS
GoldenrodUnderground,141,trainer,POKEMANIAC,ISSAC,EVENT_BEAT_POKEMANIAC_ISSAC,ISSAC,19,SENTRET
GoldenrodUnderground,152,trainer,POKEMANIAC,DONALD,EVENT_BEAT_POKEMANIAC_DONALD,DONALD,20/20,GOLETT/AIPOM
GoldenrodUnderground,472,loadtrainer,THUG,THUG_PAULIE,,PAULIE,20/20,MANKEY/KOFFING
GoldenrodUnderground,486,loadtrainer,THUG,THUG_BOBBY,,BOBBY,21/21,CROAGUNK/GRIMER
GoldenrodUnderground,507,loadtrainer,THUG,THUG_TONY,,TONY,21/21/22,HOUNDOUR/MURKROW/SCRAGGY
GoldenrodUndergroundSwitchRoomEntrances,179,loadtrainer,RIVAL1,RIVAL1_4_TOTODILE,,?,40/41/41/41/41/42,GLISCOR/MAGNETON/SLOWKING_GALARIAN/WEAVILE/CERULEDGE/FERALIGATR
GoldenrodUndergroundSwitchRoomEntrances,188,loadtrainer,RIVAL1,RIVAL1_4_CHIKORITA,,?,40/41/41/41/41/42,GLISCOR/MAGNETON/SLOWKING/WEAVILE/CERULEDGE/MEGANIUM
GoldenrodUndergroundSwitchRoomEntrances,197,loadtrainer,RIVAL1,RIVAL1_4_CYNDAQUIL,,?,40/41/41/41/41/42,GLISCOR/MAGNETON/SLOWKING/WEAVILE/GENGAR/TYPHLOSION
GoldenrodUndergroundSwitchRoomEntrances,212,trainer,GRUNTF,GRUNTF_10,EVENT_BEAT_ROCKET_GRUNTF_10,GRUNT,39/40,SCRAFTY/PILOSWINE
GoldenrodUndergroundSwitchRoomEntrances,223,trainer,GRUNTM,GRUNTM_25,EVENT_BEAT_ROCKET_GRUNTM_25,GRUNT,39/40,TOXICROAK/ARBOK
GoldenrodUndergroundSwitchRoomEntrances,234,trainer,BURGLAR,DUNCAN,EVENT_BEAT_BURGLAR_DUNCAN,DUNCAN,38/38,GLOOM/BEEDRILL
GoldenrodUndergroundSwitchRoomEntrances,245,trainer,BURGLAR,EDDIE,EVENT_BEAT_BURGLAR_EDDIE,EDDIE,38/38,NIDORINA/MURKROW
GoldenrodUndergroundSwitchRoomEntrances,256,trainer,GRUNTM,GRUNTM_13,EVENT_BEAT_ROCKET_GRUNTM_13,GRUNT,39/40,OVERQWIL/PIDGEOT
GoldenrodUndergroundSwitchRoomEntrances,267,trainer,GRUNTF,GRUNTF_3,EVENT_BEAT_ROCKET_GRUNTF_3,GRUNT,38/38/38/39,AIPOM/DUNSPARCE/STANTLER/HOUNDOOM
GoldenrodUndergroundWarehouse,37,trainer,GRUNTF,GRUNTF_14,EVENT_BEAT_ROCKET_GRUNTF_14,GRUNT,40,QWILFISH
GoldenrodUndergroundWarehouse,48,trainer,GRUNTM,GRUNTM_14,EVENT_BEAT_ROCKET_GRUNTM_14,GRUNT,38/38/40,ARIADOS/CAMERUPT/STEELIX
GoldenrodUndergroundWarehouse,59,trainer,GRUNTM,GRUNTM_15,EVENT_BEAT_ROCKET_GRUNTM_15,GRUNT,39/39/39/39/39,PILOSWINE/QWILFISH/SNEASEL/STEELIX/GLIGAR
IceIsland,16,trainer,BOARDER,BOARDER_AIDAN,EVENT_BEAT_BOARDER_AIDAN,AIDAN,43/45,SWINUB/SNEASEL
IceIsland,27,trainer,BOARDER,BOARDER_NOEL,EVENT_BEAT_BOARDER_NOEL,NOEL,43/44/45,CETODDLE/SWINUB/SEEL
IceIsland,38,trainer,SKIER,SKIER_BIANCA,EVENT_BEAT_SKIER_BIANCA,BIANCA,44/45/46,SNORUNT/SNOVER/SNEASEL
IcePath1F,52,loadtrainer,CRYSTAL2,CRYSTAL2_4_CHIKORITA,,CRYSTAL,41/42/42/42/44,XATU/MAROWAK/HYDRAPPLE/PUPITAR/MEGANIUM
IcePath1F,56,loadtrainer,CRYSTAL2,CRYSTAL2_4_CYNDAQUIL,,CRYSTAL,41/42/42/42/44,XATU/MAROWAK/FLAPPLE/PUPITAR/TYPHLOSION
IcePath1F,60,loadtrainer,CRYSTAL2,CRYSTAL2_4_TOTODILE,,CRYSTAL,41/42/42/42/44,XATU/MAROWAK/APPLETUN/PUPITAR/FERALIGATR
IlexForest,421,loadtrainer,CRYSTAL,CRYSTAL_2_CHIKORITA,,CRYSTAL,17/18/18/21,NATU/APPLIN/CUBONE/BAYLEEF
IlexForest,425,loadtrainer,CRYSTAL,CRYSTAL_2_CYNDAQUIL,,CRYSTAL,17/18/18/21,NATU/APPLIN/CUBONE/QUILAVA
IlexForest,429,loadtrainer,CRYSTAL,CRYSTAL_2_TOTODILE,,CRYSTAL,17/18/18/21,NATU/APPLIN/CUBONE/CROCONAW
IlexForest,451,trainer,BUG_CATCHER,WAYNE,EVENT_BEAT_BUG_CATCHER_WAYNE,WAYNE,18/18,SIZZLIPEDE/VENIPEDE
IndigoPlateauPokecenter1F,98,loadtrainer,RIVAL3,RIVAL3_TOTODILE,,?,93/94/94/94/94/96,GLISCOR/MAGNEZONE/SLOWKING_GALARIAN/WEAVILE/CERULEDGE/FERALIGATR
IndigoPlateauPokecenter1F,107,loadtrainer,RIVAL3,RIVAL3_CHIKORITA,,?,93/94/94/94/94/96,GLISCOR/MAGNEZONE/SLOWKING/WEAVILE/CERULEDGE/MEGANIUM
IndigoPlateauPokecenter1F,116,loadtrainer,RIVAL3,RIVAL3_CYNDAQUIL,,?,93/94/94/94/94/96,GLISCOR/MAGNEZONE/SLOWKING/WEAVILE/GENGAR/TYPHLOSION
KarensRoom,54,loadtrainer,KAREN,KAREN1,EVENT_BEAT_ELITE_4_KAREN,KAREN,52/53/53/54/54/55,UMBREON/HONCHKROW/WEAVILE/GRIMMSNARL/HOUNDOOM/KINGAMBIT
KarensRoom,57,loadtrainer,KAREN_REMATCH,KAREN2,EVENT_BEAT_ELITE_4_KAREN,KAREN,95/96/96/97/97/97,UMBREON/GENGAR/PERSIAN_ALOLAN/MURKROW/TYRANITAR/HOUNDOOM
KogasRoom,54,loadtrainer,KOGA,KOGA1,EVENT_BEAT_ELITE_4_KOGA,KOGA,50/51/51/52/52/53,GLIMMORA/MUK_ALOLAN/SCOLIPEDE/TENTACRUEL/SALAZZLE/CROBAT
KogasRoom,57,loadtrainer,KOGA_REMATCH,KOGA2,EVENT_BEAT_ELITE_4_KOGA,KOGA,94/95/95/96/96/96,TENTACRUEL/MUK/ARIADOS/NIDOKING/VENOMOTH/CROBAT
LakeOfRage,162,trainer,FISHER,ANDRE,EVENT_BEAT_FISHER_ANDRE,ANDRE,36,CORSOLA
LakeOfRage,173,trainer,FISHER,RAYMOND,EVENT_BEAT_FISHER_RAYMOND,RAYMOND,37,GOLDEEN
LakeOfRage,184,trainer,COOLTRAINERM,AARON,EVENT_BEAT_COOLTRAINERM_AARON,AARON,36/36/36,CROCONAW/POLIWHIRL/AZUMARILL
LakeOfRage,195,trainer,COOLTRAINERF,LOIS,EVENT_BEAT_COOLTRAINERF_LOIS,LOIS,36/37,LOMBRE/SLOWPOKE
LancesRoom,62,loadtrainer,CHAMPION,LANCE,EVENT_BEAT_CLAIR_REMATCH,LANCE,54/55/55/56/56/57,HAXORUS/ARCHALUDON/SALAMENCE/DRAGAPULT/BAXCALIBUR/DRAGONITE
LancesRoom,65,loadtrainer,CHAMPION_REMATCH,LANCE2,EVENT_BEAT_CLAIR_REMATCH,LANCE,96/97/97/98/98/98,TYRANITAR/DRAGONITE/GYARADOS/CHARIZARD/AERODACTYL/DRAGONITE
MahoganyGym,24,loadtrainer,PRYCE,PRYCE1,EVENT_BEAT_PRYCE,PRYCE,37/38/38/39/39/40,NINETALES_ALOLAN/DEWGONG/WEAVILE/AURORUS/ABOMASNOW/MAMOSWINE
MahoganyGym,63,loadtrainer,PRYCE_REMATCH,PRYCE2,EVENT_BEAT_PRYCE_REMATCH,PRYCE,93/93/94/94/95/95,NINETALES_ALOLAN/CLOYSTER/GLACEON/WEAVILE/LAPRAS/MAMOSWINE
MahoganyGym,88,trainer,SKIER,ROXANNE,EVENT_BEAT_SKIER_ROXANNE,ROXANNE,38,SMOOCHUM
MahoganyGym,99,trainer,SKIER,CLARISSA,EVENT_BEAT_SKIER_CLARISSA,CLARISSA,39,SNEASEL
MahoganyGym,110,trainer,BOARDER,RONALD,EVENT_BEAT_BOARDER_RONALD,RONALD,37/38,DELIBIRD/SMOOCHUM
MahoganyGym,121,trainer,BOARDER,BRAD,EVENT_BEAT_BOARDER_BRAD,BRAD,38/38,JYNX/SNORUNT
MahoganyGym,132,trainer,BOARDER,DOUGLAS,EVENT_BEAT_BOARDER_DOUGLAS,DOUGLAS,37/37/38,DELIBIRD/JYNX/SNORUNT
MountMoon,39,loadtrainer,RIVAL2,RIVAL2_1_TOTODILE,,?,82/83/84/84/84/86,GLISCOR/MAGNEZONE/SLOWKING_GALARIAN/WEAVILE/CERULEDGE/FERALIGATR
MountMoon,48,loadtrainer,RIVAL2,RIVAL2_1_CHIKORITA,,?,82/83/84/84/84/86,GLISCOR/MAGNEZONE/SLOWKING/WEAVILE/CERULEDGE/MEGANIUM
MountMoon,57,loadtrainer,RIVAL2,RIVAL2_1_CYNDAQUIL,,?,82/83/84/84/84/86,GLISCOR/MAGNEZONE/SLOWKING/WEAVILE/GENGAR/TYPHLOSION
